,Latitude,Longitude
5329693,40.685713852,-73.981680984
5329698,40.749787186,-73.867751388
5329714,40.739390416999996,-73.747890928
5329756,40.679677104,-73.90975582
5329757,40.682678865999996,-73.942331212
5329768,40.845984788,-73.90745917699999
5329779,40.708621789,-73.785966649
5330046,40.714806854,-73.761392129
5330075,40.747239674,-73.81385579100001
5330130,40.763092326999995,-73.776243476
5330307,40.59379778,-73.994611167
5330328,40.594574159000004,-74.163141106
5330352,40.696209335,-73.760589577
5330439,40.850288299,-73.903871118
5330483,40.715045385,-73.94276494
5330484,40.80904637,-73.94640123100001
5330547,40.794275526999996,-73.97393321199999
5330571,40.794275526999996,-73.97393321199999
5330576,40.707349486999995,-73.896257586
5330689,40.669336711999996,-73.908720816
5330741,40.869058532,-73.879630148
5330758,40.761833931999995,-73.91059388800001
5330793,40.649756254,-73.950381588
5330795,40.718051115,-73.773595313
5330801,40.753793824,-73.89357207399999
5330884,40.857901887,-73.88557897
5330897,40.780045767,-73.982915201
5330914,40.740859487,-73.823443814
5330921,40.651454027,-73.936660548
5331012,40.851613356,-73.906435622
5331017,40.695555811999995,-73.741435646
5331106,40.740026512,-73.917429009
5331169,40.756699792,-73.731297339
5331170,40.762615697,-73.890911961
5331231,40.748917301999995,-73.710457193
5331251,40.748917301999995,-73.710457193
5331295,40.772984231,-73.908567922
5331319,40.874906005,-73.87822380899999
5331381,40.607777178,-74.079406678
5331462,40.666682948,-73.853392997
5331463,40.667525215,-73.853095561
5331530,40.664818383000004,-73.85488217300001
5331588,40.806482362,-73.91771863
5331592,40.760188009000004,-73.79064880600001
5331601,40.651390471,-73.960200798
5331638,40.793700205,-73.826301254
5331644,40.633381776,-74.119342367
5331650,40.690237806999995,-73.836483483
5331662,40.667386453,-73.854054715
5331669,40.665585087,-73.855605029
5331736,40.623437295,-73.980466083
5331879,40.536851016,-74.201063403
5332046,40.745742006,-73.785973708
5332056,40.83797822,-73.90714867300001
5332110,40.730329064,-73.822450621
5332139,40.868407122,-73.892607677
